Line Item,2021,2022,2023,2024,2025
Net income,,,217.375,467.918,1634.644
Foreign currency translation adjustments,0.396,-2.984,2.699,-3.386,10.938
Net unrealized gain (loss) on available-for-sale securities,0.0,0.0,3.435,-3.026,8.615
Comprehensive income,,,223.509,461.506,1654.197
Less: Comprehensive income attributable to noncontrolling interests,0.0,2.611,7.55,5.728,9.611
Comprehensive income attributable to common stockholders,,,215.959,455.778,1644.586
Net income (loss),-520.379,-371.094,217.375,467.918,
Comprehensive income (loss),-519.983,-374.078,223.509,461.506,
Comprehensive income (loss) attributable to common stockholders,-519.983,-376.689,215.959,455.778,
